Frame Number,Timestamp (seconds),Crowd Count,Inference Time (milliseconds),Processing FPS
167,6.692,103.08,5868.97,0.15
168,6.732,105.14,5764.93,0.15
169,6.772,94.29,5846.75,0.15
170,6.812,91.51,6395.08,0.15
171,6.852,88.15,5949.87,0.15
172,6.893,88.15,6013.28,0.15
173,6.933,100.88,6047.96,0.15
174,6.973,97.7,5743.47,0.15
175,7.013,110.54,5934.92,0.15
176,7.053,119.43,6120.37,0.15
177,7.093,115.1,5982.73,0.15
178,7.133,109.77,6060.04,0.15
179,7.173,105.65,6313.15,0.15
180,7.213,107.92,6228.07,0.15
181,7.253,109.34,6376.21,0.15
182,7.293,89.44,6385.06,0.15
183,7.333,96.96,7081.59,0.15
184,7.373,103.37,6390.8,0.15
185,7.413,91.63,6017.25,0.15
186,7.454,104.59,6174.67,0.15
187,7.494,98.84,6552.31,0.15
188,7.534,95.28,6127.65,0.15
189,7.574,96.07,6223.04,0.15
190,7.614,101.6,5585.66,0.15
191,7.654,96.94,5733.73,0.15
192,7.694,91.13,5868.7,0.15
193,7.734,93.4,6229.29,0.15
194,7.774,101.41,6237.05,0.15
195,7.814,88.87,6157.88,0.15
196,7.854,83.39,6358.25,0.15
197,7.894,91.51,7270.08,0.15
198,7.934,95.39,5806.29,0.15
199,7.974,84.21,5956.03,0.15
200,8.015,92.36,5910.51,0.15
201,8.055,105.28,6180.66,0.15
202,8.095,93.4,5552.98,0.15
203,8.135,90.88,5776.01,0.15
204,8.175,89.68,5902.09,0.15
205,8.215,87.97,5555.33,0.15
206,8.255,93.69,5964.14,0.15
207,8.295,97.75,5962.48,0.15
208,8.335,97.7,5910.97,0.15
209,8.375,97.38,6240.33,0.15
210,8.415,96.58,6464.36,0.15
211,8.455,92.01,6418.01,0.15
212,8.495,91.71,5913.27,0.15
213,8.535,98.21,6883.42,0.15
214,8.576,109.68,6306.21,0.15
215,8.616,101.39,6300.33,0.15
216,8.656,100.69,6265.5,0.15
217,8.696,108.44,6047.88,0.15
218,8.736,112.99,6128.46,0.15
219,8.776,109.62,6387.12,0.15
220,8.816,95.56,6836.32,0.15
221,8.856,112.96,6904.47,0.15
222,8.896,101.97,6371.94,0.15
223,8.936,110.74,6446.14,0.15
224,8.976,109.41,7968.55,0.15
225,9.016,106.71,6646.77,0.15
226,9.056,105.07,7178.01,0.15
227,9.097,108.07,7434.96,0.15
228,9.137,98.98,7133.64,0.15
229,9.177,101.72,5954.42,0.15
230,9.217,108.66,6226.19,0.15
231,9.257,105.94,6166.24,0.15
232,9.297,114.28,4898.47,0.15
233,9.337,111.98,5051.55,0.15
234,9.377,114.38,4996.75,0.15
235,9.417,106.53,4984.72,0.16
236,9.457,107.32,4788.1,0.16
237,9.497,111.67,4896.46,0.16
238,9.537,114.31,5036.92,0.16
239,9.577,112.86,6447.01,0.16
240,9.617,114.53,5038.24,0.16
241,9.658,98.54,5579.31,0.16
242,9.698,100.76,5469.03,0.16
243,9.738,99.82,5375.98,0.16
244,9.778,87.01,5726.77,0.16
245,9.818,96.27,5486.63,0.16
246,9.858,90.41,5552.13,0.16
247,9.898,95.78,5492.12,0.16
248,9.938,95.94,5463.51,0.16
249,9.978,88.23,5456.87,0.16
250,10.018,82.44,5484.75,0.16
251,10.058,92.02,5562.96,0.16
252,10.098,97.82,5346.54,0.16
253,10.138,95.68,5413.8,0.16
254,10.178,96.55,5184.7,0.16
255,10.219,100.92,5351.25,0.16
256,10.259,98.62,5260.78,0.16
257,10.299,100.95,4926.29,0.16
258,10.339,109.09,4708.15,0.16
259,10.379,106.11,4631.21,0.16
260,10.419,99.75,4741.09,0.16
261,10.459,117.18,5057.83,0.16
262,10.499,116.93,5082.76,0.16
263,10.539,115.03,6155.75,0.16
264,10.579,99.56,6385.78,0.16
265,10.619,94.76,6304.66,0.16
266,10.659,92.67,6318.33,0.16
267,10.699,97.03,6550.34,0.16
268,10.739,101.53,6378.77,0.16
269,10.78,90.45,6341.57,0.16
270,10.82,97.15,5828.86,0.16
271,10.86,99.59,7319.1,0.16
272,10.9,100.53,8127.06,0.16
273,10.94,98.2,6629.36,0.16
274,10.98,92.88,6819.24,0.16
275,11.02,89.58,5818.47,0.16
